comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,cities_split,ABV,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,ADB,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,ADL,0.0,0.0004,-0.0004,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,AGP,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,AKL,0.0,0.0008,-0.0008,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,ALA,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,AMM,0.0,0.0002,-0.0002,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,AMS,0.0,0.0009,-0.0009,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,ARN,0.0,0.0002,-0.0002,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,ATH,0.0,0.0002,-0.0002,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,ATH / DXB,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,ATL,0.0,0.0001,-0.0001,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,ATL & CDG,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,AUH,0.0,0.0001,-0.0001,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,AUS,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,AYT,0.0,0.0002,-0.0002,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Aberdeen,0.0,0.0001,-0.0001,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Abidjan,0.0052,0.0001,0.0051,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Abu Dhabi,0.0,0.0009,-0.0009,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Abuja,0.0,0.0003,-0.0003,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Accra,0.0,0.0003,-0.0003,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Adana,0.0052,0.0,0.0051,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Addis Ababa,0.0,0.0008,-0.0008,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Adelaide,0.0,0.0021,-0.0021,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Adelaide / Doha,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,AdÃ©laÃ¯de,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Ahmedabad,0.0,0.0007,-0.0007,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Ajaccio,0.0,0.0001,-0.0001,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Akita,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Alanya,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Alexandria,0.0,0.0002,-0.0002,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Algiers,0.0,0.0005,-0.0005,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Almaty,0.0,0.0001,-0.0001,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Amesterdam,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Amman,0.0,0.0015,-0.0015,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Amritsar,0.0052,0.0002,0.0049,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Amsterdam,0.0104,0.0085,0.0019,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Amsterdam / Paris,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Amsterdam and Kuala Lumpur,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Ankara,0.0,0.0014,-0.0014,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Antalia,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Antalya,0.0052,0.0014,0.0038,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Antananarivo,0.0,0.0001,-0.0001,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Antanarivo,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Antaya,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
category_vs_rest,handicap,rest,cities_split,Aomori,0.0,0.0,-0.0,3.1479,0.1921,5.1645,0.5009
