comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,month,1,0.1026,0.0891,0.0134,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,2,0.0769,0.0749,0.002,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,3,0.0897,0.0832,0.0065,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,4,0.0513,0.0799,-0.0286,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,5,0.0897,0.0774,0.0123,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,6,0.0641,0.0689,-0.0048,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,7,0.0256,0.0867,-0.061,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,8,0.0769,0.0867,-0.0097,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,9,0.1154,0.0848,0.0306,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,10,0.1538,0.0879,0.0659,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,11,0.0641,0.0864,-0.0223,0.073,0.0176,0.1256,0.1339
category_vs_rest,handicap,rest,month,12,0.0897,0.0941,-0.0043,0.073,0.0176,0.1256,0.1339
category_vs_rest,pet,rest,month,1,0.0,0.0891,-0.0891,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,2,0.0,0.0749,-0.0749,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,3,0.125,0.0832,0.0418,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,4,0.0,0.0799,-0.0799,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,5,0.0,0.0774,-0.0774,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,6,0.25,0.0689,0.1811,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,7,0.25,0.0867,0.1633,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,8,0.25,0.0867,0.1633,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,9,0.0,0.0848,-0.0848,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,10,0.0,0.0879,-0.0879,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,11,0.0,0.0864,-0.0864,6.2637,0.273,1.7034,0.6033
category_vs_rest,pet,rest,month,12,0.125,0.0941,0.0309,6.2637,0.273,1.7034,0.6033
category_vs_rest,child,rest,month,1,0.1053,0.0891,0.0161,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,2,0.1053,0.0749,0.0303,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,3,0.0132,0.0832,-0.0701,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,4,0.0789,0.0799,-0.0009,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,5,0.0921,0.0774,0.0147,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,6,0.1184,0.0689,0.0495,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,7,0.0658,0.0867,-0.0209,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,8,0.0263,0.0867,-0.0604,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,9,0.0921,0.0848,0.0073,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,10,0.0395,0.0879,-0.0484,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,11,0.1184,0.0864,0.032,0.1603,0.0374,0.2261,0.1966
category_vs_rest,child,rest,month,12,0.1447,0.0941,0.0507,0.1603,0.0374,0.2261,0.1966
category_vs_category,handicap,pet,month,1,0.1026,0.0,0.1026,7.2669,0.3359,341058514.0008,0.6654
category_vs_category,handicap,pet,month,2,0.0769,0.0,0.0769,7.2669,0.3359,341058514.0008,0.6654
category_vs_category,handicap,pet,month,3,0.0897,0.125,-0.0353,7.2669,0.3359,341058514.0008,0.6654
category_vs_category,handicap,pet,month,4,0.0513,0.0,0.0513,7.2669,0.3359,341058514.0008,0.6654
category_vs_category,handicap,pet,month,5,0.0897,0.0,0.0897,7.2669,0.3359,341058514.0008,0.6654
category_vs_category,handicap,pet,month,6,0.0641,0.25,-0.1859,7.2669,0.3359,341058514.0008,0.6654
category_vs_category,handicap,pet,month,7,0.0256,0.25,-0.2244,7.2669,0.3359,341058514.0008,0.6654
category_vs_category,handicap,pet,month,8,0.0769,0.25,-0.1731,7.2669,0.3359,341058514.0008,0.6654
category_vs_category,handicap,pet,month,9,0.1154,0.0,0.1154,7.2669,0.3359,341058514.0008,0.6654
