comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,child,rest,cities_display,ABV,0.0,0.0001,-0.0001,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ABZ,0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ACC,0.0,0.0001,-0.0001,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ADB,0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ADL,0.0,0.0003,-0.0003,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,AKL,0.0,0.0006,-0.0006,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ALA,0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ALC,0.0,0.0001,-0.0001,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,AMM,0.0,0.0002,-0.0002,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ANU,0.0,0.0001,-0.0001,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ARN,0.0,0.0004,-0.0004,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ATH / DXB,0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ATL,0.0,0.0004,-0.0004,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,ATL & CDG,0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,AUH,0.0,0.0002,-0.0002,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,AUS,0.0,0.0001,-0.0001,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,AYT,0.0,0.0002,-0.0002,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,Aberdeen,0.0,0.0006,-0.0006,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,Abidjan,0.0,0.0001,-0.0001,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,Abu Dhabi,0.0,0.0011,-0.0011,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,Abuja,0.0,0.0003,-0.0003,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,Abuja Nigeria,0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,"Abuja, Nigeria",0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,Accra,0.0,0.0006,-0.0006,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,"Accra, Ghana",0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
category_vs_rest,child,rest,cities_display,Adana,0.0,0.0,-0.0,2.402,0.1473,2.7713,0.4391
