comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,child,rest,guest_type,Business,0.0345,0.1862,-0.1517,1.1779,0.2613,3.231,0.526
category_vs_rest,child,rest,guest_type,Couple Leisure,0.0603,0.2628,-0.2025,1.1779,0.2613,3.231,0.526
category_vs_rest,child,rest,guest_type,Family Leisure,0.8621,0.1767,0.6854,1.1779,0.2613,3.231,0.526
category_vs_rest,child,rest,guest_type,Solo Leisure,0.0431,0.3743,-0.3311,1.1779,0.2613,3.231,0.526
category_vs_rest,pet,rest,guest_type,Business,0.25,0.1862,0.0638,0.0733,0.018,0.1245,0.1348
category_vs_rest,pet,rest,guest_type,Couple Leisure,0.125,0.2628,-0.1378,0.0733,0.018,0.1245,0.1348
category_vs_rest,pet,rest,guest_type,Family Leisure,0.25,0.1767,0.0733,0.0733,0.018,0.1245,0.1348
category_vs_rest,pet,rest,guest_type,Solo Leisure,0.375,0.3743,0.0007,0.0733,0.018,0.1245,0.1348
category_vs_rest,handicap,rest,guest_type,Business,0.0654,0.1862,-0.1208,0.2046,0.0494,0.5056,0.2242
category_vs_rest,handicap,rest,guest_type,Couple Leisure,0.2336,0.2628,-0.0292,0.2046,0.0494,0.5056,0.2242
category_vs_rest,handicap,rest,guest_type,Family Leisure,0.4393,0.1767,0.2626,0.2046,0.0494,0.5056,0.2242
category_vs_rest,handicap,rest,guest_type,Solo Leisure,0.2617,0.3743,-0.1126,0.2046,0.0494,0.5056,0.2242
category_vs_category,child,pet,guest_type,Business,0.0345,0.25,-0.2155,0.9748,0.2164,2.0115,0.4785
category_vs_category,child,pet,guest_type,Couple Leisure,0.0603,0.125,-0.0647,0.9748,0.2164,2.0115,0.4785
category_vs_category,child,pet,guest_type,Family Leisure,0.8621,0.25,0.6121,0.9748,0.2164,2.0115,0.4785
category_vs_category,child,pet,guest_type,Solo Leisure,0.0431,0.375,-0.3319,0.9748,0.2164,2.0115,0.4785
category_vs_category,child,handicap,guest_type,Business,0.0345,0.0654,-0.0309,0.4669,0.1082,0.7327,0.335
category_vs_category,child,handicap,guest_type,Couple Leisure,0.0603,0.2336,-0.1733,0.4669,0.1082,0.7327,0.335
category_vs_category,child,handicap,guest_type,Family Leisure,0.8621,0.4393,0.4228,0.4669,0.1082,0.7327,0.335
category_vs_category,child,handicap,guest_type,Solo Leisure,0.0431,0.2617,-0.2186,0.4669,0.1082,0.7327,0.335
category_vs_category,pet,handicap,guest_type,Business,0.25,0.0654,0.1846,0.2314,0.0554,0.7019,0.2379
category_vs_category,pet,handicap,guest_type,Couple Leisure,0.125,0.2336,-0.1086,0.2314,0.0554,0.7019,0.2379
category_vs_category,pet,handicap,guest_type,Family Leisure,0.25,0.4393,-0.1893,0.2314,0.0554,0.7019,0.2379
category_vs_category,pet,handicap,guest_type,Solo Leisure,0.375,0.2617,0.1133,0.2314,0.0554,0.7019,0.2379
