comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,child,rest,month,1.0,0.0776,0.0847,-0.0071,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,2.0,0.0776,0.0724,0.0052,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,3.0,0.0431,0.0826,-0.0395,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,4.0,0.0948,0.0781,0.0167,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,5.0,0.0776,0.0779,-0.0003,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,6.0,0.1121,0.0739,0.0381,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,7.0,0.069,0.0857,-0.0168,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,8.0,0.0948,0.0876,0.0072,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,9.0,0.0948,0.0883,0.0066,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,10.0,0.0431,0.0904,-0.0473,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,11.0,0.1034,0.0874,0.0161,0.0464,0.0114,0.0802,0.1073
category_vs_rest,child,rest,month,12.0,0.1121,0.0908,0.0213,0.0464,0.0114,0.0802,0.1073
category_vs_rest,pet,rest,month,1.0,0.0,0.0847,-0.0847,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,2.0,0.0,0.0724,-0.0724,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,3.0,0.125,0.0826,0.0424,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,4.0,0.0,0.0781,-0.0781,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,5.0,0.0,0.0779,-0.0779,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,6.0,0.25,0.0739,0.1761,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,7.0,0.25,0.0857,0.1643,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,8.0,0.25,0.0876,0.1624,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,9.0,0.0,0.0883,-0.0883,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,10.0,0.0,0.0904,-0.0904,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,11.0,0.0,0.0874,-0.0874,6.2424,0.2709,1.6487,0.6012
category_vs_rest,pet,rest,month,12.0,0.125,0.0908,0.0342,6.2424,0.2709,1.6487,0.6012
category_vs_rest,handicap,rest,month,1.0,0.0935,0.0847,0.0087,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,2.0,0.0841,0.0724,0.0117,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,3.0,0.0841,0.0826,0.0015,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,4.0,0.0654,0.0781,-0.0127,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,5.0,0.0748,0.0779,-0.0032,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,6.0,0.1028,0.0739,0.0289,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,7.0,0.0467,0.0857,-0.039,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,8.0,0.1028,0.0876,0.0152,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,9.0,0.1028,0.0883,0.0145,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,10.0,0.1121,0.0904,0.0217,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,11.0,0.0561,0.0874,-0.0313,0.0322,0.008,0.0583,0.0896
category_vs_rest,handicap,rest,month,12.0,0.0748,0.0908,-0.016,0.0322,0.008,0.0583,0.0896
category_vs_category,child,pet,month,1.0,0.0776,0.0,0.0776,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,2.0,0.0776,0.0,0.0776,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,3.0,0.0431,0.125,-0.0819,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,4.0,0.0948,0.0,0.0948,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,5.0,0.0776,0.0,0.0776,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,6.0,0.1121,0.25,-0.1379,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,7.0,0.069,0.25,-0.181,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,8.0,0.0948,0.25,-0.1552,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,9.0,0.0948,0.0,0.0948,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,10.0,0.0431,0.0,0.0431,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,11.0,0.1034,0.0,0.1034,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,pet,month,12.0,0.1121,0.125,-0.0129,6.1359,0.2666,243014268.6488,0.5963
category_vs_category,child,handicap,month,1.0,0.0776,0.0935,-0.0159,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,2.0,0.0776,0.0841,-0.0065,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,3.0,0.0431,0.0841,-0.041,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,4.0,0.0948,0.0654,0.0294,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,5.0,0.0776,0.0748,0.0028,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,6.0,0.1121,0.1028,0.0093,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,7.0,0.069,0.0467,0.0222,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,8.0,0.0948,0.1028,-0.008,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,9.0,0.0948,0.1028,-0.008,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,10.0,0.0431,0.1121,-0.069,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,11.0,0.1034,0.0561,0.0474,0.0814,0.0199,0.1503,0.1419
category_vs_category,child,handicap,month,12.0,0.1121,0.0748,0.0373,0.0814,0.0199,0.1503,0.1419
category_vs_category,pet,handicap,month,1.0,0.0,0.0935,-0.0935,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,2.0,0.0,0.0841,-0.0841,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,3.0,0.125,0.0841,0.0409,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,4.0,0.0,0.0654,-0.0654,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,5.0,0.0,0.0748,-0.0748,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,6.0,0.25,0.1028,0.1472,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,7.0,0.25,0.0467,0.2033,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,8.0,0.25,0.1028,0.1472,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,9.0,0.0,0.1028,-0.1028,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,10.0,0.0,0.1121,-0.1121,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,11.0,0.0,0.0561,-0.0561,6.3795,0.2792,1.9482,0.61
category_vs_category,pet,handicap,month,12.0,0.125,0.0748,0.0502,6.3795,0.2792,1.9482,0.61
