comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,child,rest,seat_type,Economy Class,0.8203,0.6298,0.1905,0.0986,0.0242,0.1594,0.1562
category_vs_rest,child,rest,seat_type,Business Class,0.125,0.2799,-0.1549,0.0986,0.0242,0.1594,0.1562
category_vs_rest,child,rest,seat_type,Premium Economy,0.0312,0.062,-0.0308,0.0986,0.0242,0.1594,0.1562
category_vs_rest,child,rest,seat_type,First Class,0.0234,0.0283,-0.0049,0.0986,0.0242,0.1594,0.1562
category_vs_rest,pet,rest,seat_type,Business Class,0.25,0.2799,-0.0299,0.2992,0.0156,0.0954,0.1415
category_vs_rest,pet,rest,seat_type,Economy Class,0.625,0.6298,-0.0048,0.2992,0.0156,0.0954,0.1415
category_vs_rest,pet,rest,seat_type,First Class,0.0,0.0283,-0.0283,0.2992,0.0156,0.0954,0.1415
category_vs_rest,pet,rest,seat_type,Premium Economy,0.125,0.062,0.063,0.2992,0.0156,0.0954,0.1415
category_vs_rest,handicap,rest,seat_type,Economy Class,0.6964,0.6298,0.0666,0.0115,0.0029,0.0212,0.0536
category_vs_rest,handicap,rest,seat_type,Business Class,0.2411,0.2799,-0.0388,0.0115,0.0029,0.0212,0.0536
category_vs_rest,handicap,rest,seat_type,Premium Economy,0.0446,0.062,-0.0174,0.0115,0.0029,0.0212,0.0536
category_vs_rest,handicap,rest,seat_type,First Class,0.0179,0.0283,-0.0105,0.0115,0.0029,0.0212,0.0536
category_vs_category,child,pet,seat_type,Business Class,0.125,0.25,-0.125,0.3607,0.0404,2746582.2234,0.2114
category_vs_category,child,pet,seat_type,Economy Class,0.8203,0.625,0.1953,0.3607,0.0404,2746582.2234,0.2114
category_vs_category,child,pet,seat_type,First Class,0.0234,0.0,0.0234,0.3607,0.0404,2746582.2234,0.2114
category_vs_category,child,pet,seat_type,Premium Economy,0.0312,0.125,-0.0938,0.3607,0.0404,2746582.2234,0.2114
category_vs_category,child,handicap,seat_type,Economy Class,0.8203,0.6964,0.1239,0.0514,0.0127,0.0837,0.113
category_vs_category,child,handicap,seat_type,Business Class,0.125,0.2411,-0.1161,0.0514,0.0127,0.0837,0.113
category_vs_category,child,handicap,seat_type,Premium Economy,0.0312,0.0446,-0.0134,0.0514,0.0127,0.0837,0.113
category_vs_category,child,handicap,seat_type,First Class,0.0234,0.0179,0.0056,0.0514,0.0127,0.0837,0.113
category_vs_category,pet,handicap,seat_type,Business Class,0.25,0.2411,0.0089,0.215,0.0171,0.1702,0.1416
category_vs_category,pet,handicap,seat_type,Economy Class,0.625,0.6964,-0.0714,0.215,0.0171,0.1702,0.1416
category_vs_category,pet,handicap,seat_type,First Class,0.0,0.0179,-0.0179,0.215,0.0171,0.1702,0.1416
category_vs_category,pet,handicap,seat_type,Premium Economy,0.125,0.0446,0.0804,0.215,0.0171,0.1702,0.1416
