comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,accommodation_type,ApartHotel,0.0506,0.0475,0.0031,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Apartment,0.0633,0.079,-0.0158,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Bed and Breakfast,0.0253,0.0551,-0.0298,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Boat,0.0,0.0006,-0.0006,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Camping,0.0,0.0023,-0.0023,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Capsule Hotel,0.0,0.0018,-0.0018,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Chalet,0.0,0.0011,-0.0011,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Country house,0.0,0.003,-0.003,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Cruise,0.0,0.0001,-0.0001,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Farm stay,0.0,0.0023,-0.0023,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Guest house,0.038,0.0721,-0.0341,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Holiday Park,0.0,0.0051,-0.0051,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Holiday home,0.0127,0.0099,0.0028,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Homestay,0.0,0.0098,-0.0098,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Hostel,0.0,0.0376,-0.0376,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Hotel,0.6835,0.5664,0.1172,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Inn,0.0253,0.0205,0.0048,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Japanese-style Business Hotel,0.0,0.0,-0.0,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Lodge,0.0,0.0069,-0.0069,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Love Hotel,0.0,0.0,-0.0,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Motel,0.038,0.0335,0.0044,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Resort,0.0506,0.0349,0.0158,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Riad,0.0,0.0023,-0.0023,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Ryokan,0.0,0.0025,-0.0025,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Student accommodation,0.0127,0.0007,0.012,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Tented camp,0.0,0.0011,-0.0011,0.8031,0.0408,0.3525,0.2317
category_vs_rest,handicap,rest,accommodation_type,Villa,0.0,0.0038,-0.0038,0.8031,0.0408,0.3525,0.2317
category_vs_rest,pet,rest,accommodation_type,ApartHotel,0.0185,0.0475,-0.029,0.3608,0.0368,0.3092,0.2047
category_vs_rest,pet,rest,accommodation_type,Apartment,0.0556,0.079,-0.0235,0.3608,0.0368,0.3092,0.2047
category_vs_rest,pet,rest,accommodation_type,Bed and Breakfast,0.0556,0.0551,0.0004,0.3608,0.0368,0.3092,0.2047
category_vs_rest,pet,rest,accommodation_type,Boat,0.0,0.0006,-0.0006,0.3608,0.0368,0.3092,0.2047
