comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,traveller_type,Couple,0.4028,0.4912,-0.0885,0.0593,0.0145,0.1624,0.1211
category_vs_rest,handicap,rest,traveller_type,Family with older children,0.125,0.0513,0.0737,0.0593,0.0145,0.1624,0.1211
category_vs_rest,handicap,rest,traveller_type,Family with young children,0.1806,0.1188,0.0618,0.0593,0.0145,0.1624,0.1211
category_vs_rest,handicap,rest,traveller_type,Group,0.0972,0.1273,-0.0301,0.0593,0.0145,0.1624,0.1211
category_vs_rest,handicap,rest,traveller_type,Solo traveler,0.1944,0.2113,-0.0169,0.0593,0.0145,0.1624,0.1211
category_vs_rest,pet,rest,traveller_type,Couple,0.5574,0.4912,0.0661,0.0093,0.0023,0.0183,0.0481
category_vs_rest,pet,rest,traveller_type,Solo traveler,0.1803,0.2113,-0.031,0.0093,0.0023,0.0183,0.0481
category_vs_rest,pet,rest,traveller_type,Group,0.1148,0.1273,-0.0126,0.0093,0.0023,0.0183,0.0481
category_vs_rest,pet,rest,traveller_type,Family with young children,0.0984,0.1188,-0.0204,0.0093,0.0023,0.0183,0.0481
category_vs_rest,pet,rest,traveller_type,Family with older children,0.0492,0.0513,-0.0021,0.0093,0.0023,0.0183,0.0481
category_vs_rest,child,rest,traveller_type,Couple,0.1117,0.4912,-0.3795,1.0749,0.2407,3.4278,0.5037
category_vs_rest,child,rest,traveller_type,Family with older children,0.1341,0.0513,0.0828,1.0749,0.2407,3.4278,0.5037
category_vs_rest,child,rest,traveller_type,Family with young children,0.6927,0.1188,0.5739,1.0749,0.2407,3.4278,0.5037
category_vs_rest,child,rest,traveller_type,Group,0.0335,0.1273,-0.0938,1.0749,0.2407,3.4278,0.5037
category_vs_rest,child,rest,traveller_type,Solo traveler,0.0279,0.2113,-0.1834,1.0749,0.2407,3.4278,0.5037
category_vs_category,handicap,pet,traveller_type,Couple,0.4028,0.5574,-0.1546,0.0874,0.0214,0.2322,0.1471
category_vs_category,handicap,pet,traveller_type,Family with older children,0.125,0.0492,0.0758,0.0874,0.0214,0.2322,0.1471
category_vs_category,handicap,pet,traveller_type,Family with young children,0.1806,0.0984,0.0822,0.0874,0.0214,0.2322,0.1471
category_vs_category,handicap,pet,traveller_type,Group,0.0972,0.1148,-0.0175,0.0874,0.0214,0.2322,0.1471
category_vs_category,handicap,pet,traveller_type,Solo traveler,0.1944,0.1803,0.0141,0.0874,0.0214,0.2322,0.1471
category_vs_category,handicap,child,traveller_type,Couple,0.4028,0.1117,0.291,0.7267,0.1671,2.2511,0.4171
category_vs_category,handicap,child,traveller_type,Family with older children,0.125,0.1341,-0.0091,0.7267,0.1671,2.2511,0.4171
category_vs_category,handicap,child,traveller_type,Family with young children,0.1806,0.6927,-0.5122,0.7267,0.1671,2.2511,0.4171
category_vs_category,handicap,child,traveller_type,Group,0.0972,0.0335,0.0637,0.7267,0.1671,2.2511,0.4171
category_vs_category,handicap,child,traveller_type,Solo traveler,0.1944,0.0279,0.1665,0.7267,0.1671,2.2511,0.4171
category_vs_category,pet,child,traveller_type,Couple,0.5574,0.1117,0.4456,1.1729,0.2598,3.3695,0.5246
category_vs_category,pet,child,traveller_type,Family with older children,0.0492,0.1341,-0.0849,1.1729,0.2598,3.3695,0.5246
category_vs_category,pet,child,traveller_type,Family with young children,0.0984,0.6927,-0.5944,1.1729,0.2598,3.3695,0.5246
category_vs_category,pet,child,traveller_type,Group,0.1148,0.0335,0.0812,1.1729,0.2598,3.3695,0.5246
category_vs_category,pet,child,traveller_type,Solo traveler,0.1803,0.0279,0.1524,1.1729,0.2598,3.3695,0.5246
