comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,month,1,0.0972,0.0817,0.0155,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,2,0.0833,0.0744,0.0089,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,3,0.0417,0.0797,-0.038,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,4,0.0556,0.0831,-0.0276,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,5,0.0833,0.0901,-0.0068,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,6,0.0833,0.0832,0.0002,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,7,0.1528,0.0956,0.0572,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,8,0.1111,0.0983,0.0129,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,9,0.1806,0.0823,0.0983,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,10,0.0278,0.085,-0.0572,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,11,0.0278,0.0697,-0.042,0.1276,0.031,0.2548,0.1773
category_vs_rest,handicap,rest,month,12,0.0556,0.0768,-0.0212,0.1276,0.031,0.2548,0.1773
category_vs_rest,pet,rest,month,1,0.082,0.0817,0.0002,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,2,0.1148,0.0744,0.0404,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,3,0.0984,0.0797,0.0186,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,4,0.1475,0.0831,0.0644,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,5,0.0984,0.0901,0.0082,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,6,0.082,0.0832,-0.0012,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,7,0.0984,0.0956,0.0027,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,8,0.082,0.0983,-0.0163,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,9,0.0656,0.0823,-0.0167,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,10,0.0328,0.085,-0.0522,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,11,0.0492,0.0697,-0.0206,0.0676,0.0166,0.1311,0.1293
category_vs_rest,pet,rest,month,12,0.0492,0.0768,-0.0276,0.0676,0.0166,0.1311,0.1293
category_vs_rest,child,rest,month,1,0.0726,0.0817,-0.0091,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,2,0.0615,0.0744,-0.0129,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,3,0.0279,0.0797,-0.0518,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,4,0.1061,0.0831,0.023,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,5,0.1117,0.0901,0.0216,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,6,0.0391,0.0832,-0.0441,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,7,0.1173,0.0956,0.0217,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,8,0.1564,0.0983,0.0582,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,9,0.1117,0.0823,0.0295,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,10,0.0503,0.085,-0.0347,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,11,0.0447,0.0697,-0.0251,0.0888,0.0217,0.1522,0.1482
category_vs_rest,child,rest,month,12,0.1006,0.0768,0.0238,0.0888,0.0217,0.1522,0.1482
category_vs_category,handicap,pet,month,1,0.0972,0.082,0.0153,0.1584,0.0384,0.3568,0.1974
category_vs_category,handicap,pet,month,2,0.0833,0.1148,-0.0314,0.1584,0.0384,0.3568,0.1974
category_vs_category,handicap,pet,month,3,0.0417,0.0984,-0.0567,0.1584,0.0384,0.3568,0.1974
