comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,nights,2.0,0.3673,0.4161,-0.0487,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,3.0,0.2449,0.2977,-0.0528,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,4.0,0.1429,0.1485,-0.0057,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,5.0,0.1429,0.0648,0.0781,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,6.0,0.0408,0.0304,0.0104,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,7.0,0.0612,0.023,0.0382,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,8.0,0.0,0.0078,-0.0078,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,9.0,0.0,0.004,-0.004,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,10.0,0.0,0.0028,-0.0028,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,11.0,0.0,0.0013,-0.0013,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,12.0,0.0,0.001,-0.001,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,13.0,0.0,0.0008,-0.0008,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,14.0,0.0,0.0008,-0.0008,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,15.0,0.0,0.0004,-0.0004,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,16.0,0.0,0.0002,-0.0002,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,17.0,0.0,0.0001,-0.0001,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,18.0,0.0,0.0001,-0.0001,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,19.0,0.0,0.0001,-0.0001,0.2282,0.0213,0.1963,0.1564
category_vs_rest,handicap,rest,nights,20.0,0.0,0.0001,-0.0001,0.2282,0.0213,0.1963,0.1564
