comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,rooms_type,1 King Bed Guest Room,0.0,0.0001,-0.0001,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Adjacent Non Communicating Rooms,0.0,0.0001,-0.0001,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Adjacent Rooms,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Adjacent Superior Rooms,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Connecting Deluxe Rooms with VIP Service for Kids,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Connecting Double Rooms,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Connecting Rooms,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Connecting Rooms 4 Adults,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Connecting Rooms 4 people,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Connecting Rooms 5 Adults,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Connecting Rooms 5 people,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Double Rooms next to each other,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 Twin Beds Guest Room,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,2 double Connecting Rooms,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,3 Connecting Rooms,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Accessible Double Guest Room,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Accessible King Room with Lounge Access,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Accessible Queen Guest Room,0.0,0.0002,-0.0002,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Accessible Twin Guest Room,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Accessible Twin Room,0.0,0.0001,-0.0001,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Adjacent Double Rooms,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Adjacent Rooms,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Aldwych Double Twin Room,0.0,0.0002,-0.0002,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Ambassadors Room,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Amiral Single Room,0.0,0.0001,-0.0001,3.8242,0.2211,24.8483,0.544
category_vs_rest,handicap,rest,rooms_type,Amsterdam Street Art Double Guest Room,0.0,0.0,-0.0,3.8242,0.2211,24.8483,0.544
