comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,categories_clean,,0.0,0.0002,-0.0002,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Accommodation Reservations,0.0,0.0029,-0.0029,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Accommodations & Lodging,0.0,0.0061,-0.0061,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Air Sightseeing Tours,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,American Restaurant,0.0,0.0006,-0.0006,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,American Restaurants,0.0,0.0004,-0.0004,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Amusement Places & Arcades,0.0,0.0001,-0.0001,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Apartment Finder & Rental Service,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Apartment Hotels,0.0383,0.0028,0.0355,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Apartment Operators,0.0,0.0003,-0.0003,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Apartments,0.0,0.0003,-0.0003,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Arcade,0.0,0.0002,-0.0002,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Assisted Living & Elder Care Services,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Assisted Living Facilities,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Attorneys,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Attractions,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,B&bs / Inns,0.0,0.0015,-0.0015,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Banquet Facilities,0.0104,0.0052,0.0052,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Banquet Halls & Reception Facilities,0.0,0.0031,-0.0031,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Banquet Rooms,0.0104,0.0061,0.0044,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Bar,0.0,0.0026,-0.0026,2.157,0.215,3.0312,0.4994
