comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,child,rest,accommodation_type,,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Accommodation Reservations,0.0011,0.0002,0.0009,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Accommodations & Lodging,0.0034,0.0004,0.0029,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Air Sightseeing Tours,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Airport Consultants,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Airports,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Albion,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Alternative Fuels,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,American,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,American Restaurant,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,American Restaurants,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,American restaurants,0.0,0.0001,-0.0001,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Amusement Places & Arcades,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,ApartHotel,0.0146,0.0435,-0.0289,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Apartment,0.027,0.0724,-0.0454,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Apartment Finder & Rental Service,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Apartment Hotels,0.0045,0.0001,0.0043,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Apartment Operators,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Apartments,0.0011,0.0,0.0011,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Arcade,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Arkansas (ar),0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Assisted Living & Elder Care Services,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Assisted Living Facilities,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Attorneys,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Attractions,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,B&bs / Inns,0.0,0.0001,-0.0001,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bait,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Banking,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Banquet Facilities,0.0022,0.0002,0.002,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Banquet Halls & Reception Facilities,0.0034,0.0001,0.0033,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Banquet Halls Reception Facilities,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Banquet Halls and Reception Facilities,0.0,0.0001,-0.0001,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Banquet Rooms,0.0,0.0002,-0.0002,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Banquet facilities,0.0011,0.0001,0.0011,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bar,0.0,0.0002,-0.0002,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bar & Grills,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bar and grill restaurants,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bars,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bars & Clubs,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bars & Pubs,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bars Clubs,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bars Pubs,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Beach,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Beach Hotels,0.009,0.0004,0.0086,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Beauty,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Beauty salons,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bed & Breakfast,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bed & Breakfast & Inns,0.0011,0.0003,0.0009,1.1646,0.2171,9.6916,0.4895
category_vs_rest,child,rest,accommodation_type,Bed & Breakfast Reservations,0.0,0.0,-0.0,1.1646,0.2171,9.6916,0.4895
