comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,month,5.0,0.0,0.1548,-0.1548,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,7.0,0.0,0.1336,-0.1336,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,4.0,0.0,0.1252,-0.1252,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,3.0,0.0,0.1069,-0.1069,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,2.0,0.0,0.0722,-0.0722,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,8.0,0.0,0.068,-0.068,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,1.0,0.0,0.0654,-0.0654,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,9.0,0.0,0.0647,-0.0647,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,10.0,0.0,0.0631,-0.0631,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,12.0,0.0,0.0596,-0.0596,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,11.0,0.0,0.0571,-0.0571,0.0923,0.0226,0.214,0.1511
category_vs_rest,handicap,rest,month,6.0,0.0,0.0293,-0.0293,0.0923,0.0226,0.214,0.1511
category_vs_rest,pet,rest,month,1.0,0.0,0.0654,-0.0654,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,2.0,0.0,0.0722,-0.0722,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,3.0,0.0,0.1069,-0.1069,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,4.0,0.0,0.1252,-0.1252,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,5.0,1.0,0.1548,0.8452,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,6.0,0.0,0.0293,-0.0293,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,7.0,0.0,0.1336,-0.1336,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,8.0,0.0,0.068,-0.068,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,9.0,0.0,0.0647,-0.0647,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,10.0,0.0,0.0631,-0.0631,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,11.0,0.0,0.0571,-0.0571,9.4665,0.4657,5.4604,0.7788
category_vs_rest,pet,rest,month,12.0,0.0,0.0596,-0.0596,9.4665,0.4657,5.4604,0.7788
category_vs_rest,child,rest,month,1.0,0.12,0.0654,0.0546,2.2154,0.0994,0.4723,0.3614
category_vs_rest,child,rest,month,2.0,0.1,0.0722,0.0278,2.2154,0.0994,0.4723,0.3614
category_vs_rest,child,rest,month,3.0,0.06,0.1069,-0.0469,2.2154,0.0994,0.4723,0.3614
category_vs_rest,child,rest,month,4.0,0.22,0.1252,0.0948,2.2154,0.0994,0.4723,0.3614
