id,review,category,human_truth,validation_status,llm_child,llm_pet,llm_handicap,bert_child,bert_pet,bert_handicap,kw_child,kw_pet,kw_handicap
1063,"Does anyone have suggestions for this member? I am going on a cruise in a couple of weeks. I will be taking my manual wheelchair and a stroller. Does anyone know how I can package my walker basket, cushion and back from my wheelchair. Will this all just go in the overhead bins as carry on luggage?",child,1,llm_validated,1,0,1,0,0,1,1,0,1
265,"From a member of our community: I want to travel to Singapore and Phuket with my husband and two children however we are struggling to find accommodation to suit our needs. We require hotel rooms where we can stay together but have a shower where I can get my wheelchair in for a roll-in shower, can you give me some advice please as to where to look? Thank you!",child,1,llm_validated,1,0,1,0,0,1,1,0,1
268,"We finally went, we stayed for a whole week. My daughter with multiple disabilities, autism intellectually delayed and others had the best time of her life. What a super great birthday. What Disney World is handicap accessible however I did have a hard time navigating in Universal Studios. Definitely need two. Good pair of walking shoes day three red wheelchair and my oldest did push me around everywhere we went. The staff is very helpful. Very understanding and compassionate. The characters are very awesome with the kids and adults with disabilities, we stayed at the Drury Plaza Hotel in Orlando Disney Which we had a good time we had a blessed they have shadows to take you to and from all Disney theme parks and yes, it is very accessible for people in wheelchairs. They even ask you if you need the tamp down if they see you have issues with walking, they saw that I was blinding hand mobility issue so they asked if I wanted the wrap down even though I was not in a wheelchair no trouble airport they were very helpful. My daughter had a Great time my oldest had fun with the fast pass cus we didn’t have too wait in long lines lol going off peak season is great cus 1 less people 2 shorter lines for rides 3 just overall a lot better for people with disabilities, especially if they are autistic",child,1,llm_validated,1,0,1,0,0,1,1,0,1
1087,"I really appreciated this candid and loving conversation about traveling with a child who has autism: https://news.delta.com/accessibility-travel-customer-shares-perspective-traveling-autism When we travel, we encounter so many strangers - and this is such a nice reminder that you just never know somebody’s story and to be kind and patient, as much as you can. I particularly liked this exchange (from the piece linked above) with some practical tips on how to make travel easier: “Allison: Accessibility in travel has come a long way, but we know there is still work to be done. From your perspective, what improvements could Delta and the industry make to our processes that would help your family? Donna: I was once on a flight with a woman who discreetly handed out notecards to customers that said she had an autistic child with her and to please be patient. I thought it was such a great idea. I know customers can work with Reservations and Airport Customer Service to ensure crews are notified of someone traveling with an invisible disability who may need additional assistance before boarding – I think others would benefit from knowing that too. [I’ve often thought that] having a pin or lanyard on for employees who have some experience with autism would be a massive help. It would also serve as an identifier for customers. I can sit here and tell you all about what to do, but when you have someone who’s lived it and understands it, that makes a big difference.”",child,1,llm_validated,1,0,1,1,0,0,1,0,1
286,"This is a big ask, but I can dream. My daughter’s family of 4 is in DC suburbs. My husband in a wheelchair full-time and I live in western MA. We’d like to spend Thanksgiving together somewhere that no one cooks and we can all be together. Best would be on the coast somewhere at either end or in between, in lodging with minimal thresholds and 8” under our bed for a lift, and nearby beach with beach wheelchair. Acceptable would be an accessible hotel somewhere in between with 8” under bed in an interesting enough place that we could “stroll” around and eat in restaurants. The fall back will be to have them drive all the way to our accessible home and go out to dinner but the other options would be fun.",child,1,llm_validated,1,0,1,0,0,1,1,0,1
956,"From a member of our community: We’re looking to travel to Prague this September 2023, with my parents and my children. My father is able to walk, but would need a wheelchair for long distances. It is extremely difficult for him to negotiate stairs. Any recommendations for hotels, attractions, ground transportation that are accessible would be greatly appreciated! Tour operators as well. Thanks in advance!",child,1,llm_validated,1,0,1,0,0,1,1,0,1
1075,"I just completed a very enjoyable cruise with my family from Anchorage to Vancouver but I must complain about their airline assistance department. I booked 3 staterooms including a suite for my son’s family and a cabin for my medical aide. We decided to let NCL provide air arrangements, transfer and overnight stay at the Anchorage Hilton for myself, my wife and my aide. The handicapped rooms with roll in shower do not have hand showers! The travel department put my aide on a separate flight from mine for the return journey. I called to change this and was told “because she did not have the same booking number as my itinerary there was nothing that they could do until 10 days before the travel date” even though I said it was not possible for me to travel without my aide! I tried, unsuccessfully, to resolve this sooner but finally 10 days before the flight, the resolution department agreed to put her on my flight at an additional cost of $480 which I reluctantly agreed to. I then contacted Alaska Air handicapped assistance to have my seat move nearer the front of the plane since I require an aisle chair. There I was told I should never have been put on the Vancouver to Seattle leg of the trip because it was in Embraer 160 plane which is not allowed to carry lithium batteries even in the main cabin. I called NCL travel resolution who said I should have known that it’s on their website but I pointed out that depending on how you query the mobility section of your website you may or may not be shown the warnings about the Embraer planes. They then rerouted us via Air Canada to our Newark destination. I asked him for my $480 back but they refused.",child,1,llm_validated,1,0,1,1,0,0,1,0,1
1358,"I have a family of 4, and sometimes more when travel with my granddaughter. I required the use of an wheelchair accessible room with a roll in shower. We also foster a young lady with Cerebral Palsy and Developmental disabilities that requires supervision and can’t be left alone. The challenge is finding an wheelchair accessible roll in shower room that will sleep.The second challenge is finding 2 rooms one being an accessible with roll in shower that sleeps 2 and a connecting room.The third and final challenge when traveling with our granddaughter or if our 13 year old wants to bring a friend is finding hotel lodging that meets all of our needs. As I all the major house projects are almost done and I’m nearing retirement I plan to travel more and just need lodging. We have went as far as renting entire houses and cabins to meet our needs. We also plan to try and travel abroad.I’m hopeful we are not alone in this struggleBe WellEd",child,1,llm_validated,1,0,1,0,0,1,1,0,1
51,"For my 60th birthday year, Chet and I took my dream trip to Japan. We journeyed as far north as Nikko National Park and as far south as Nagasaki. We saw ancient temples and shrines, wild monkeys, amazing forests, and interesting museums. We ate at 7 11, Family Mart and Lawson convenience stores, restaurants, and local markets. We dipped our toes in the Japan Sea, climbed sand dunes, and even rode a camel. We traveled in a Mini Wink camper van from Japan Campers for three weeks, driving up and down crazy mountain roads, driving through rice paddies, and in the city traffic of Toyoko and Osaka. We camped at Michi No Eki roadside stops and other stops recommended by the Japan Campers app. We hope you will join us on this trip of a lifetime. We had a blast, and I hope you will enjoy joining us through this video series. We also lightly discuss accessibility that we see in our journey. This episode starts our journey from Japan Campers Narita, Japan to Nikko National Park. We spent the morning traveling pass beautiful places including rice fields, forests, stream, and small towns, and spent the afternoon starting our exploration of Nikko National Park. We are Betsy and Chet, and our oldest son, Alex. For 33 years, we thought Alex, had nonverbal autism, intellectual disability, ADHD, but a few years ago we found out that he has Phelan McDermid. Alex goes on many trips with us, but this time the plane trip is too far. Part of the reason we make these videos is to share the world with Alex and others who are unable to make a journey to Japan. We have no idea what Alex understands receptively, so videos are a way to visually communicate where we went for three weeks. He likes to use his eye gaze communication device to watch his vacation videos so now in a way he can see Japan with us. Our videos, Goal 1: Joyful Life are based on our family's journey and strategies we use to improve the quality of our life through meaningful leisure experiences. It is our hope to reach our number one goal of having a joyful life and to help others reach that goal too. We are hoping that our videos will encourage everyone to get out and have fun.",child,1,llm_validated,1,0,1,0,0,0,1,0,1
593,"We would love to do a family vacation in May. Thinking of Michigan. Mom and dad and our 3 adult kids. I will have my scooter. Handicap shower preferred. Would love a park with paved trails.Not sure what all to do there. My hubby and kids love adventure. Any advice? Sorry if this is a repeat question, my MS has turned my brain to mush.",child,1,llm_validated,1,0,1,0,0,1,1,0,1
