id,review,category,kw_handicap,kw_pet,kw_child,bert_handicap,bert_pet,bert_child,validation_status
1194,"Hi: Newly disabled (use a cane presently) and at a loss for planning vacations for my family, all of whom eat vegan. Prefer domestic travel to start. Any recommendations?",child handicap,1,0,1,0,0,0,disputed
408,"Looking for accessible stuff to do in Charleston. We will be close to Daniel Island. We like the beaches, Looking to rent/use beach chair. What other cool stuff is accessible and avilable that tourists don’t know about?",handicap,1,0,0,0,0,0,disputed
6,"My name is Mark. I am 51 years old Marine Veteran I got paralyzed from the Covid vaccine second shot on September 5, 2021. I had taken the second shot Moderna on September 3. At the time I was in peak shape. I was taking a shower, I put my head down I went numb from toe to neck. I initially could only move my head. Now, I can talk, move my arms, not fingers everything else paralyzed neck down, but I have a stand up wheelchair to get around and I bought a 50lb hoyer to travel with. Before paralyzation traveled 300 days a year for 10 plus years. Since I haven’t. I hope to start traveling this new year.",handicap,1,0,0,0,0,0,disputed
1197,"We’ll be in Quito for 2 nights before heading home next week and would like to stay in the Historic District in a nice hotel. I’ve been scouring the typical search sites (booking.com, kayak, Trivago, etc) and oddly none of them seem to have the filter (that I know I’ve seen/used before) present for “elevator” when searching Quito. Definitely in need of some 1st hand intel. Anywho… I am in a wheelchair and although we can manage a flight of steps here or there, being that it’s at the end of our trip, it would be great to find somewhere with an elevator or ground floor rooms (and little to no other steps necessary to get into/around the building). Our max budget is around $130/nt. Any suggestions would be greatly appreciated. Thanks!",handicap,1,0,0,0,0,0,disputed
277,"From a member of our community: I have a spinal cord injury where I can stand or sit for very limited amounts of time. I am trying to research transportation options where I can lay flat whether by air travel or car rides with a paid driver. In the past, I have bought 3 airline seats in order to lay down on certain routes, mainly Southwest, but wondering if anyone has advice here. Can anyone recommend domestic airlines that allow you to lay flat (probably only business or first class), or transportation companies you can hire for long rides where you can lay down? Thanks everyone!",handicap,1,0,0,0,0,0,disputed
1712,"Hi, I was recently put into a Powerchair/wheelchair and am traveling for the first time in years. Due to a mix up, no transport was set up for me to get from the airport (Reagan DCA) to the hotel (Yotel DC) and back again, after the stay. I’m traveling Oct 19, 2021 thru Oct 21, 2021. If anyone has any experience with this and /or could possibly suggest a company I could call to get this set up, it would be very much appreciated. I’ve never used a wheelchair before (well, not all the time anyway) and am still getting used to it.I plan on using an overnight bag, as a carry on and will hold it in my lap. Looking for my owners manual, I think I might have to remove the batteries…but wanted to get this posted. 😊 Thank you very much for any help!",handicap,1,0,0,0,0,0,disputed
1715,"The New Premier Caribbean Hotel for Wheelchair Accessible Travelers has now opened in St. Maarten The Morgan Resort & Spa - St Maarten Luxury ResortMy husband and I were lucky enough to get to be the very first wheelchair guests at the new Morgan Hotel this past May and we were in love at first sight. From the moment you arrive at the property you know you have arrived somewhere very special as you pass through two sets of gates and guard houses before reaching the glamorous front of the hotel; where the amazingly friendly valet/door-people will help you out of your vehicle. Whether it’s helping to assemble back your manual wheelchair or safely unloading a power wheelchair, the staff was obviously trained well as to how to best assist us wheeled travelers. (They will even help carry every last piece of equipment you may have traveled with; and we brought a lot)As you enter the glamorous but modestly sized lobby, you can’t help but take your eyes off of the giant, gorgeous infinity pool overlooking the ocean that’s just on the other side of the lobby(*Will come back to the pool in a sec). The amazing front desk staff and concierge will not only help you get checked in, but will personally escort you to your room to help orient you with the hotel amenities and make sure you have everything you need while settling in (ask for Arielle; she’s phenomenal). After taking some time to explore the giant accessible room and attached living room, I noticed how they remembered all the little details that are most important to us accessible travelers: lowered closets, electrical controls all within reach, access to the entire room; accessible bathroom with roll under sink, safety toilet (with good amount of grab bars), roll-in shower (flip down benches on order to replace shower chairs); handheld+waterfall shower heads; as well as having the coffee machine, safe and fridge within reachable zone.Honestly I was blown away by how much they got right with the room; especially after staying at some insane nightmare hotels in the caribbean that claimed to be accessible prior to booking the room. Whoever designed this hotel really took the time to plan out what was needed for their 9 (yes I said 9) accessible rooms and oceanfront suites. What impressed me even more, was the General Manager (Saul) took the time to sit down with us to get some feedback about how we were finding the accessible features of the hotel; and took the time to walk around the property and room with us and his builder to see what else could be improved on as they were finishing up the property. (Which was not much at all. Just some little stuff like a lower peep hole for the door, changing the bathroom door handle to add a few inches of entry area and changing from shower seats to benches for safety).Just like many hotels where we try to give some critical feedback on the accessibility of the property, they could have just humored us and pretended to care; but no, not these folks. They truly seem to be concerned about making the changes ASAP so that ALL guests get the chance to enjoy their property equally. That’s not something you find often in any hotel; let alone a hotel in the Carribean. They even are ordering some beach wheelchairs to use for the pool and maybe even the neighboring beaches. (They can even rent you a beach wheelchair from a local company to be able to take to the other beaches on the island who will bring the chair right to you at that beach and come back at the end of the day for it).Now speaking of their fabulous pool. Never in my life have I seen such a large pool with zero-degree entry going around the entire sides of this football field sized pool. (There is a regular entry point of the pool too if that’s easier). You’ll never want to get out of this pool and you probably won’t need to since the fantastic pool staff bring you anything you need and the bar in the water will fulfill all your cocktail and food fantasies. What I loved was the fact they had these soft pool chairs surrounding the pool (1’ away) that I could easily pull myself out of the water and right into the chair from. The only negative I will say about any of this is the fact that they put the hot tub in the middle of the pool with no other entry point and you have to go up stairs and down stairs to switch bodies of water. There also is a really cool swim in a cave in the corner with a built in waterslide; but no way to get to the top of the slide if your legs don’t work (not that my spine Dr. would appreciate me trying slides…lol).If you can drag yourself away from the pool, you must try the restaurant and bar. Chef David will BLOW YOUR MIND with his food. He hit it out of the park on his first try with the opening menu for the hotel. My spouse couldn’t stop raving about the Lobster and the Seafood Paella and I was obsessed with the vegetarian items on the menu; especially the Empanadas (They even serve an Impossible burger; which is so hard to find in St. Maarten). Every single thing we tried for breakfast was delicious and will fill you up well for your busy day on the island. Try the fruit and bread platter if you can or the pancakes will have you licking the plate. Or if you don;t feel like dining, try out the bar and let the Bartender Nigel make you one of his enticing cocktails (let alone he’s the nicest guy to talk to on the island).I wish I could list every single person who went out of their way to take care of our every need at the hotel; but it would add an entire page to this review. Let’s just say I can’t say one negative thing about any of the employees at the hotel. They all made us feel so welcome and treated us as if we were visiting their own home. Leaving was the most difficult part of our entire visit at the hotel. We spent two life changing weeks at the Morgan and tried out every aspect of that resort and they passed every test we threw at them. There are very few hotels I have ever fallen in love with, but this one definitely moved into my heart for life and I can’t wait to return. (Or move to the island… that is how much they made us fall in love with St. Maarten here) Please trust me, you won’t be disappointed and you’ve never enjoyed yourself more on vacation till you stay here. (You don’t even have to have a wheelchair to have as good of a time as us).",handicap,1,0,0,0,0,0,disputed
1313,"Hello everyone. My name is Diane Wildowsky and my friend and I have started a new website/blog helping people navigate NYC using a mobility scooter. I include wheelchairs where I can. I ride the subway and buses almost daily with my scooter. And while a restroom might be marked “accessible,” you learn very quickly, it isn’t always accessible for everyone. Look forward to meeting you all and happy to answer questions. Thank you in advance for taking time to look at our site. Paint the Town Mobile Paint the Town Mobile",handicap,1,0,0,0,0,0,disputed
932,"I’m looking for a three-bedroom house or condo near or on a beach in close proximity to Kailua/Kona that is totally wheelchair accessible with a roll in shower. In the best of all worlds it would have an Ohana on site for my caregiver as well. I’m familiar with availability for accessible public transportation but would like the option of renting a lift equipped vehicle as well. Also, if anyone knows of in-home care options on Hawaii I would greatly appreciate that as well. Thanks, Tim",handicap,1,0,0,0,0,0,disputed
274,"Hi everyone! I am from Sacramento, California, I am 65 years young, been on a wheelchair since 2015 and I happen to get a Atto scooter that helps me move around every now and then.. I love exploring the world …",handicap,1,0,0,0,0,0,disputed
673,"Thing to see and do in following ports My husband and I are scheduled to take a Caribbean cruise in March 2024. We both travel in Prides scooters, which makes booking accessible excursions with the ship most impossible. We enjoy getting off the ship and do sightseeing around the port of call. We will be in the following ports and would like to suggestions of we things we might do and/or see in the following ports: St. Maarten , Antigua, St. Kitts, Tortola, BVI, Martinique, St. Lucia, Dominica, and Grand Turk, Turks & Caicos Thank you to everyone who reads our request even if you can’t or don’t respond. If you do an extra special thank you.",handicap,1,0,0,0,0,0,disputed
