id,review,category,kw_handicap,kw_pet,kw_child,bert_handicap,bert_pet,bert_child,validation_status
5913,"We love this pet friendly, oceanfront property. The staff is very friendly and accommodating. Close to local restaurants, services. Beautiful maintained paths along oceanfront make for great sights including whales and sea lions.",pet,0,1,0,0,0,0,disputed
1718,"No surprises here, a great stay at this Courtyard! We were in town for 2 days prior to boarding our cruise and we loved our stay. For two adults, a child and a senior everyone was happy. The room was clean and nice size. The view of Lake Union from our room was beautiful and the location was great! Gym, great for the stay!Food in the restaurant, served its purpose and great to be on site!Service, fantasic!Very Happy with this stay!Thank you so much for your wonderful review! We are so happy to hear you enjoyed your stay with us before your cruise and hope to see you next time your travels bring you to Seattle!Sincerely,Rachel Packard",child,0,0,1,0,0,0,disputed
8658,"Weekend getaway with children.  Hotel is very nice and clean.  Easy access to shopping and activities, especially when weather is not best - love having the ""link"" walkway to Union Station and Crown Center shopping.",child,0,0,1,0,0,0,disputed
9307,"Conveniently located near FLL airport, free airport transportation, shuttle provided. Free Breakfast and WiFi. Great Service. Definitely will use this service again and recommend to my friends and family. Also, close to food outlets.",child,0,0,1,0,0,0,disputed
5517,"Great location and a very friendly, helpful staff. Immaculate room and hotel with all the amenities one could ask for. The morning breakfast changed its entree every morning and the coffee was delicious and available all day. The housekeeping staff is very thorough and the room was beautiful. I would highly recommend this Hampton Inn to anyone looking for location and an extremely clean and well appointed place to stay at a very affordable price. This will be our go to hotel whenever we visit family in Maryland.",child,0,0,1,0,0,0,disputed
3686,"We only had two days to spend in Baltimore so I chose this hotel based on it's location. It was even better than I anticipated. Walking distance to Fell's Point. The room was spacious and well appointed. It was loud in the morning with breakfast in the lobby and housekeeping starts knocking at 8am sharp. They'll keep knocking too which was irritating so if you want to sleep past 8 put the privacy card on your door handle. Breakfast ends at 10 which I wasn't told at check-in and didn't see in writing anywhere so we missed that the first day. We were there for crabby hour and it was delicious and a nice touch to the stay! I saw other reviews complaining about parking, we didn't have an issue. There's a lot and a ramp right next door.",handicap,1,0,0,0,0,0,disputed
3552,"Great hotel for price. Large rooms with good views. We had small toddler and he had room to play and climb--very spacious! Room was very clean and hotel staff was great. Nice breakfast (eggs, waffles, French toast, fruit, yogurt). Everything was great, but the pool. Pool was extremely small and was greenish in color. I was surprised at how small it was. Other than that, great hotel for the money and it is close to the inner harbor and National Aquarium. Don't valet, as they charge 42 per day. Garage behind hotel was 3 on the weekend and we parked there 20+ hours. During week it was only 14 to park overnight.",child,0,0,1,0,0,0,disputed
3558,"Excellent service, great size rooms and great location for my family to stay while I had surgery.",child handicap,1,0,1,0,0,1,disputed
7214,For some reason according to the front desk the regular queen room booked from Hotels.com gave us a handicap room. I stayed at a wonderful Red Roof Inn in Boston a few years ago. Since then i have been to 2 in Pennsylvania. It is definitely not the same. Won't be staying at red roof again,handicap,1,0,0,0,0,0,disputed
1191,"Tried out Aloft for the ADA rooms. Pleasantly surprised spacious rooms updated features. We will look for the brand in our travels. The receptionist was very friendly and knowledgeable of the area. I was waiting for the concierge to give a breakfast recommendation and she was busy so the receptionist gave us a few with different styles and directions turned out great. Thank you Aloft for a great stayDelighted to hear of your stay with us and appreciate your feedback on our ADA rooms. We hope you will stay with us again in the future,Dixie Krauss, Assistant General Manager",handicap,1,0,0,0,0,0,disputed
